paper_idx,year,age,citations,refs,cpy,early_est,late_est,beauty_ratio
67,2007,18,27,12,1.4210526315789473,4.2631578947368425,21.31578947368421,4.999999999999999
68,2007,18,82,85,4.315789473684211,12.947368421052632,64.73684210526316,5.0
69,2007,18,20,20,1.0526315789473684,3.1578947368421053,15.789473684210526,5.0
70,2007,18,32,39,1.6842105263157894,5.052631578947368,25.263157894736842,5.0
72,2007,18,72,91,3.789473684210526,11.368421052631579,56.84210526315789,5.0
76,2007,18,35,157,1.8421052631578947,5.526315789473684,27.63157894736842,5.0
77,2007,18,98,39,5.157894736842105,15.473684210526315,77.36842105263158,5.0
78,2007,18,27,69,1.4210526315789473,4.2631578947368425,21.31578947368421,4.999999999999999
80,2007,18,24,36,1.263157894736842,3.789473684210526,18.94736842105263,5.0
81,2007,18,26,25,1.368421052631579,4.105263157894737,20.526315789473685,5.0
82,2007,18,27,33,1.4210526315789473,4.2631578947368425,21.31578947368421,4.999999999999999
85,2007,18,27,35,1.4210526315789473,4.2631578947368425,21.31578947368421,4.999999999999999
86,2007,18,74,71,3.8947368421052633,11.68421052631579,58.42105263157895,5.000000000000001
88,2007,18,29,30,1.5263157894736843,4.578947368421053,22.894736842105264,5.0
89,2007,18,46,15,2.4210526315789473,7.2631578947368425,36.31578947368421,5.0
92,2007,18,197,25,10.368421052631579,31.105263157894736,155.52631578947367,5.0
96,2007,18,78,32,4.105263157894737,12.315789473684212,61.578947368421055,4.999999999999999
97,2007,18,38,23,2.0,6.0,30.0,5.0
98,2007,18,32,27,1.6842105263157894,5.052631578947368,25.263157894736842,5.0
101,2007,18,22,38,1.1578947368421053,3.473684210526316,17.36842105263158,5.0
103,2007,18,193,34,10.157894736842104,30.473684210526315,152.36842105263156,4.999999999999999
104,2007,18,373,23,19.63157894736842,58.89473684210526,294.4736842105263,5.0
106,2007,18,43,74,2.263157894736842,6.789473684210526,33.94736842105263,5.0
108,2007,18,26,14,1.368421052631579,4.105263157894737,20.526315789473685,5.0
109,2007,18,20,44,1.0526315789473684,3.1578947368421053,15.789473684210526,5.0
110,2007,18,73,30,3.8421052631578947,11.526315789473685,57.63157894736842,4.999999999999999
111,2007,18,111,67,5.842105263157895,17.526315789473685,87.63157894736842,5.0
112,2007,18,102,35,5.368421052631579,16.105263157894736,80.52631578947368,5.0
114,2007,18,25,50,1.3157894736842106,3.947368421052632,19.736842105263158,4.999999999999999
117,2007,18,45,60,2.3684210526315788,7.105263157894736,35.526315789473685,5.000000000000001
118,2007,18,29,54,1.5263157894736843,4.578947368421053,22.894736842105264,5.0
119,2007,18,86,48,4.526315789473684,13.578947368421051,67.89473684210526,5.0
120,2007,18,23,66,1.2105263157894737,3.6315789473684212,18.157894736842106,5.0
122,2007,18,71,20,3.736842105263158,11.210526315789474,56.05263157894737,5.0
123,2007,18,55,145,2.8947368421052633,8.68421052631579,43.42105263157895,5.000000000000001
124,2007,18,35,27,1.8421052631578947,5.526315789473684,27.63157894736842,5.0
130,2007,18,80,109,4.2105263157894735,12.631578947368421,63.1578947368421,5.0
131,2007,18,397,60,20.894736842105264,62.684210526315795,313.42105263157896,5.0
134,2007,18,149,45,7.842105263157895,23.526315789473685,117.63157894736842,5.0
136,2007,18,47,17,2.473684210526316,7.421052631578948,37.10526315789474,5.0
137,2007,18,41,52,2.1578947368421053,6.473684210526316,32.36842105263158,5.0
138,2007,18,45,55,2.3684210526315788,7.105263157894736,35.526315789473685,5.000000000000001
141,2007,18,33,19,1.736842105263158,5.210526315789474,26.05263157894737,5.0
143,2007,18,87,21,4.578947368421052,13.736842105263158,68.68421052631578,4.999999999999999
144,2007,18,114,89,6.0,18.0,90.0,5.0
