paper_idx,year,age,citations,refs,cpy,early_est,late_est,beauty_ratio,arxiv_id
389201,1992,33,24,27,0.7058823529411765,2.117647058823529,21.176470588235297,10.000000000000002,astro-ph-9211012
389200,1992,33,24,8,0.7058823529411765,2.117647058823529,21.176470588235297,10.000000000000002,astro-ph-9211011
389187,1992,33,40,43,1.1764705882352942,3.5294117647058822,35.294117647058826,10.000000000000002,astro-ph-9210004
389193,1992,33,22,62,0.6470588235294118,1.9411764705882355,19.411764705882355,10.0,astro-ph-9211003
389173,1992,33,31,11,0.9117647058823528,2.735294117647059,27.352941176470587,10.0,astro-ph-9208002
389207,1992,33,219,44,6.441176470588236,19.323529411764707,193.23529411764707,10.0,astro-ph-9212006
389194,1992,33,472,34,13.882352941176473,41.64705882352941,416.4705882352941,10.0,astro-ph-9211004
389192,1992,33,114,19,3.3529411764705883,10.058823529411764,100.58823529411764,10.0,astro-ph-9211002
389188,1992,33,25,26,0.7352941176470589,2.2058823529411766,22.058823529411768,10.0,astro-ph-9210005
389183,1992,33,68,35,2.0,6.0,60.0,10.0,astro-ph-9209006
389181,1992,33,26,15,0.7647058823529411,2.294117647058824,22.941176470588232,10.0,astro-ph-9209004
389179,1992,33,55,24,1.6176470588235294,4.852941176470589,48.52941176470589,10.0,astro-ph-9209002
389178,1992,33,420,38,12.352941176470589,37.05882352941177,370.5882352941177,10.0,astro-ph-9208007
389176,1992,33,463,26,13.617647058823527,40.85294117647059,408.52941176470586,10.0,astro-ph-9208005
389182,1992,33,82,2,2.411764705882353,7.235294117647058,72.35294117647058,10.0,astro-ph-9209005
389165,1992,33,76,27,2.235294117647059,6.705882352941177,67.05882352941177,10.0,astro-ph-9206001
389169,1992,33,106,24,3.117647058823529,9.352941176470589,93.52941176470588,10.0,astro-ph-9206005
389156,1992,33,21,22,0.6176470588235294,1.8529411764705883,18.529411764705884,10.0,astro-ph-9204002
389162,1992,33,30,49,0.8823529411764706,2.647058823529412,26.47058823529412,10.0,astro-ph-9205004
389166,1992,33,105,39,3.088235294117647,9.264705882352942,92.64705882352942,10.0,astro-ph-9206002
389155,1992,33,1397,36,41.088235294117645,123.26470588235291,1232.6470588235293,10.0,astro-ph-9204001
389170,1992,33,215,24,6.323529411764706,18.97058823529412,189.7058823529412,10.0,astro-ph-9207001
389171,1992,33,34,11,1.0,3.0,30.0,10.0,astro-ph-9207002
389172,1992,33,204,13,6.0,18.0,180.0,10.0,astro-ph-9208001
389184,1992,33,91,13,2.676470588235294,8.029411764705882,80.29411764705881,9.999999999999998,astro-ph-9210001
389168,1992,33,37,34,1.088235294117647,3.264705882352941,32.647058823529406,9.999999999999998,astro-ph-9206004
389190,1992,33,54,21,1.588235294117647,4.764705882352941,47.647058823529406,9.999999999999998,astro-ph-9210007
389204,1992,33,37,24,1.088235294117647,3.264705882352941,32.647058823529406,9.999999999999998,astro-ph-9212001
389167,1992,33,28,62,0.8235294117647058,2.4705882352941178,24.70588235294117,9.999999999999998,astro-ph-9206003
389395,1993,32,25,29,0.7575757575757576,2.2727272727272725,21.96969696969697,9.666666666666668,astro-ph-9308022
389572,1993,32,173,28,5.242424242424242,15.727272727272728,152.03030303030303,9.666666666666668,astro-ph-9311066
389299,1993,32,20,15,0.6060606060606061,1.8181818181818183,17.575757575757578,9.666666666666668,astro-ph-9305021
389441,1993,32,166,30,5.03030303030303,15.09090909090909,145.87878787878788,9.666666666666668,astro-ph-9309027
389301,1993,32,20,42,0.6060606060606061,1.8181818181818183,17.575757575757578,9.666666666666668,astro-ph-9305023
389387,1993,32,208,47,6.303030303030303,18.909090909090907,182.7878787878788,9.666666666666668,astro-ph-9308013
389571,1993,32,57,39,1.7272727272727273,5.181818181818182,50.09090909090909,9.666666666666668,astro-ph-9311065
389393,1993,32,77,96,2.333333333333333,7.0,67.66666666666667,9.666666666666668,astro-ph-9308020
389386,1993,32,150,57,4.545454545454546,13.636363636363637,131.81818181818184,9.666666666666668,astro-ph-9308012
389308,1993,32,23,3,0.696969696969697,2.090909090909091,20.21212121212121,9.666666666666668,astro-ph-9305031
389480,1993,32,55,16,1.6666666666666667,5.0,48.333333333333336,9.666666666666668,astro-ph-9310011
389396,1993,32,83,42,2.515151515151515,7.545454545454545,72.93939393939394,9.666666666666668,astro-ph-9308023
389489,1993,32,74,68,2.242424242424242,6.727272727272727,65.03030303030303,9.666666666666668,astro-ph-9310021
389581,1993,32,37,11,1.121212121212121,3.3636363636363638,32.51515151515152,9.666666666666668,astro-ph-9311075
389583,1993,32,55,14,1.6666666666666667,5.0,48.333333333333336,9.666666666666668,astro-ph-9311077
389289,1993,32,299,72,9.06060606060606,27.18181818181818,262.7575757575757,9.666666666666668,astro-ph-9305011
389288,1993,32,40,18,1.2121212121212122,3.6363636363636367,35.15151515151516,9.666666666666668,astro-ph-9305010
389471,1993,32,104,16,3.1515151515151514,9.454545454545451,91.3939393939394,9.666666666666668,astro-ph-9310002
389286,1993,32,181,46,5.484848484848484,16.454545454545453,159.06060606060606,9.666666666666668,astro-ph-9305008
389282,1993,32,23,15,0.696969696969697,2.090909090909091,20.21212121212121,9.666666666666668,astro-ph-9305004
389397,1993,32,37,20,1.121212121212121,3.3636363636363638,32.51515151515152,9.666666666666668,astro-ph-9308024
389563,1993,32,857,73,25.96969696969697,77.9090909090909,753.1212121212121,9.666666666666668,astro-ph-9311057
389279,1993,32,27,30,0.8181818181818182,2.4545454545454546,23.72727272727273,9.666666666666668,astro-ph-9305001
